S. No.,Method,Acc,Instrument,Qty,Buy Price,Sell Price,Stop Loss,Buy Date,Sell Date
270,3*3,RA1144,BIRLAMONEY,"1,165",74.07,68.55,,07-02-22,12-09-23
271,3*3,UT0149,RELINFRA,669,133.2,184.85,,10-02-22,05-09-22
272,3*3,UT0149,RPOWER,"4,182",14.35,22.65,,18-02-22,05-09-22
273,3*3,UT0149,RPOWER,"1,108",13.55,22.65,,23-02-22,05-09-22
274,3*3,RA1144,ASIANTILES,"1,722",100.48,621,,24-02-22,
275,3*3,RA1144,JPPOWER,"8,234",6.85,21,,24-02-22,08-02-24
276,3*3,RA1144,JPPOWER,"7,666",6.85,80,,24-02-22,
277,MISC,RA1144,RELINFRA,"1,036",105.2,122.4,,24-02-22,17-08-22
278,MISC,RA1144,RPOWER,"8,410",12.95,22.45,,24-02-22,05-09-22
279,MISC,RA1144,HDFC,55,"2,402.70","2,480.20",,25-02-22,16-08-22
280,MISC,RA1144,HDFCAMC,89,"2,080.61","2,088.70",,25-02-22,07-11-22
281,MISC,RA1144,HINDUNILVR,61,"2,180.20","2,510.90",,25-02-22,07-07-22
282,3*3,RA1144,JPPOWER,"3,322",6.95,80,,25-02-22,
283,MISC,RA1144,NMDC,940,140.45,140.45,,25-02-22,05-06-23
284,MISC,RA1144,PNB,"3,761",35.35,35.75,,25-02-22,30-08-22
285,MISC,RA1144,RELINFRA,220,104.7,122.4,,25-02-22,17-08-22
286,MISC,RA1144,RPOWER,"1,756",13.15,22.45,,25-02-22,05-09-22
287,MISC,RA1144,HDFC,15,"2,287.20","2,480.20",,02-03-22,16-08-22
288,3*3,RA1144,BIRLAMONEY,"1,153",60.65,68.55,,03-03-22,12-09-23
289,3*3,RA1144,AWL,59,340.14,497.2,,07-03-22,29-03-22
290,3*3,RA1144,ASIANTILES,263,102.25,621,,14-03-22,
291,3*3,RA1144,JINDALSTEL,423,474.95,475.2,,14-03-22,02-11-22
292,3*3,RA1144,RPOWER,"6,525",14.25,22.45,,14-03-22,05-09-22
293,3*3,RA1144,VAIBHAVGBL,374,401.2,"1,040.00",,14-03-22,
294,3*3,RA1144,ADANIPOWER,796,125.7,194.7,,21-03-22,01-04-22
295,3*3,UT0149,ADANIPOWER,408,122.7,194.8,,22-03-22,01-04-22
296,3*3,RA1144,ADANIPORTS,41,769.75,786.95,,29-03-22,04-04-22
297,3*3,UT0149,NMDC,465,170.2,150.3,,06-04-22,05-06-23
298,3*3,RA1144,NMDC,"1,098",170.2,178.95,,06-04-22,05-06-23
299,3*3,RA1144,PATANJALI,320,782.7,"1,278.20",,07-04-22,06-09-22
300,MISC,RA1144,MOKSH,508,19.7,21.55,,12-04-22,06-05-22
301,3*3,UT0149,GIPCL,220,91.2,103.2,,18-04-22,21-04-22
302,3*3,RA1144,TATASTLLP,200,792.7,826.7,,18-04-22,06-09-23
303,3*3,RA1144,ADANIPORTS,314,873.95,"1,309.20",,25-04-22,06-03-24
304,3*3,UT0149,ADANIPORTS,87,873.95,"1,035.00",,25-04-22,20-12-23
305,3*3,RA1144,BAJAJHIND,"1,852",17.55,22.4,,02-05-22,23-08-23
306,3*3,UT0149,BAJAJHIND,998,17.55,22.12,,02-05-22,23-08-23
307,3*3,UT0149,PATANJALI,91,"1,105.20","1,295.52",,02-05-22,05-09-22
308,3*3,RA1144,PATANJALI,62,"1,104.20","1,278.20",,02-05-22,06-09-22
309,3*3,UT0149,PATANJALI,55,"1,062.20","1,295.52",,04-05-22,05-09-22
310,3*3,RA1144,PATANJALI,16,"1,062.20","1,278.20",,04-05-22,06-09-22
311,3*3,RA1144,ADANIPORTS,138,808.2,"1,309.20",,06-05-22,06-03-24
312,3*3,A01144,ADANIPORTS,12,785.2,815.15,,10-05-22,06-09-22
313,3*3,A01144,PATANJALI,102,982.2,"1,284.90",,13-05-22,06-09-22
314,3*3,A01144,EVEXIA,"9,960",2.51,2.69,,18-05-22,26-04-23
315,3*3,A01144,RTNPOWER,"10,990",4.55,4.55,,18-05-22,06-09-22
316,3*3,A01144,EVEXIA,"9,960",2.51,2.69,,25-05-22,26-04-23
317,3*3,RA1144,JSWISPL,"2,865",25.3,29.78,,30-05-22,03-11-22
318,MISC,UT0149,TANLA,86,647.2,787.2,,29-07-22,04-08-22
319,MISC,RA1144,TANLA,175,642.2,787.2,,29-07-22,04-08-22
320,MISC,RA1144,KANSAINER,205,504.66,502.2,,03-08-22,16-08-22
321,MISC,RA1144,BAJAJHIND,"32,857",8.4,22.4,,17-08-22,23-08-23
322,MISC,RA1144,TV18BRDCST,"3,965",38.6,41.75,,18-08-22,05-09-22
